Experiment	Replicate	Modality	Genome
ENCSR520ZUD	1	10x	GRCh38
ENCSR114OKU	1	10x	GRCh38
ENCSR868ZEI	1	ren	GRCh38
ENCSR474TGL	1	ren	GRCh38
ENCSR549JEQ	1	ren	GRCh38
ENCSR491LSZ	1	multiome	GRCh38
ENCSR205TUH	1	ren	GRCh38
ENCSR628POB	1	multiome	GRCh38
ENCSR131DKN	1	multiome	GRCh38
ENCSR420EWQ	1	multiome	GRCh38
ENCSR693GAD	1	multiome	GRCh38
ENCSR137FPX	1	10x	GRCh38
ENCSR205VFW	1	10x	GRCh38
ENCSR785BSP	1	multiome	GRCh38
ENCSR402SNA	1	ren	GRCh38
ENCSR593FCC	1	10x	GRCh38
ENCSR606VJQ	1	10x	GRCh38
ENCSR833BMK	1	multiome	GRCh38
ENCSR083HFN	1	multiome	GRCh38
ENCSR604PDO	1	10x	GRCh38
ENCSR080TZR	1	10x	GRCh38
ENCSR592WYM	1	10x	GRCh38
ENCSR341TTX	1	10x	GRCh38
ENCSR000XQD	1	multiome	GRCh38
ENCSR231GXD	1	10x	GRCh38
ENCSR305VES	1	multiome	GRCh38
ENCSR600UDB	1	10x	GRCh38
ENCSR908RCU	1	10x	GRCh38
ENCSR533CSY	1	multiome	GRCh38
ENCSR507ZEN	1	10x	GRCh38
ENCSR773HYY	1	10x	GRCh38
ENCSR278XIZ	1	10x	GRCh38
ENCSR690KGJ	1	multiome	GRCh38
ENCSR575LID	1	10x	GRCh38
ENCSR778RZT	1	10x	GRCh38
ENCSR630YEA	1	multiome	GRCh38
ENCSR816NWE	1	multiome	GRCh38
ENCSR029KFQ	1	multiome	GRCh38
ENCSR472HFJ	1	10x	GRCh38
ENCSR756HYX	1	10x	GRCh38
ENCSR242VMQ	1	10x	GRCh38
ENCSR815FGT	1	multiome	GRCh38
ENCSR588PEE	1	multiome	GRCh38
ENCSR425CZQ	1	multiome	GRCh38
ENCSR681OLJ	1	multiome	GRCh38
ENCSR102QKY	1	10x	GRCh38
ENCSR493QJO	1	10x	GRCh38
ENCSR893WOE	1	ren	GRCh38
ENCSR871CTA	1	ren	GRCh38
ENCSR538FPK	1	ren	GRCh38
ENCSR177OXQ	1	10x	GRCh38
ENCSR974TUB	1	10x	GRCh38
ENCSR364GEA	1	ren	GRCh38
ENCSR569ZMI	1	10x	GRCh38
ENCSR668XPI	1	multiome	GRCh38
ENCSR314WGW	1	10x	GRCh38
ENCSR740EIL	1	10x	GRCh38
ENCSR868CRK	1	multiome	GRCh38
ENCSR169BCG	1	multiome	GRCh38
ENCSR776EOI	1	ren	GRCh38
ENCSR229VVY	1	multiome	GRCh38
ENCSR597YWW	1	10x	GRCh38
ENCSR181XXQ	1	ren	GRCh38
ENCSR516MHK	1	10x	GRCh38
ENCSR830FPR	1	multiome	GRCh38
ENCSR028RFK	1	ren	GRCh38
ENCSR869LEV	1	multiome	GRCh38
ENCSR710NDM	1	multiome	GRCh38
ENCSR410OWB	1	10x	GRCh38
ENCSR288RQI	1	10x	GRCh38
ENCSR398OHC	1	10x	GRCh38
ENCSR952HMV	1	ren	GRCh38
ENCSR441ZWO	1	ren	GRCh38
ENCSR819EGE	1	ren	GRCh38
ENCSR940QRM	1	ren	GRCh38
ENCSR989MQQ	1	10x	GRCh38
ENCSR442RZO	1	10x	GRCh38
ENCSR777GVP	1	multiome	GRCh38
ENCSR207ABL	1	multiome	GRCh38
ENCSR332SXG	1	10x	GRCh38
ENCSR352RMS	1	multiome	GRCh38
ENCSR413MCQ	1	10x	GRCh38
ENCSR009WQK	1	10x	GRCh38
ENCSR811QVW	1	10x	GRCh38
ENCSR139TIQ	1	ren	GRCh38
ENCSR318ERF	1	multiome	GRCh38
ENCSR299NEP	1	multiome	GRCh38
ENCSR154JHG	1	10x	GRCh38
ENCSR207HVA	1	10x	GRCh38
ENCSR932LAJ	1	10x	GRCh38
ENCSR759OSE	1	10x	GRCh38
